superordinate,feature_id
instrument,f_1
instrument,f_2
instrument,f_3
instrument,f_4
instrument,f_5
instrument,f_6
instrument,f_7
instrument,f_8
instrument,f_9
instrument,f_10
instrument,f_11
instrument,f_12
instrument,f_13
instrument,f_14
instrument,f_15
instrument,f_16
instrument,f_17
instrument,f_18
instrument,f_19
instrument,f_20
instrument,f_21
fruit,f_22
fruit,f_23
fruit,f_24
fruit,f_25
fruit,f_26
fruit,f_27
fruit,f_28
fruit,f_20
fruit,f_29
fruit,f_30
fruit,f_31
fruit,f_32
fruit,f_33
fruit,f_34
fruit,f_35
fruit,f_36
fruit,f_37
fruit,f_38
fruit,f_39
fruit,f_40
fruit,f_41
fruit,f_42
fruit,f_43
fruit,f_44
furniture,f_12
furniture,f_45
furniture,f_46
furniture,f_6
furniture,f_47
furniture,f_48
furniture,f_49
furniture,f_50
furniture,f_51
furniture,f_52
furniture,f_53
furniture,f_54
furniture,f_55
furniture,f_56
furniture,f_57
furniture,f_58
furniture,f_59
furniture,f_60
furniture,f_61
furniture,f_62
furniture,f_63
furniture,f_16
furniture,f_37
furniture,f_64
