concept,count,total,p
delicious apple,108,7446,0.014504431909750202
macintosh apple,13,7446,0.0017459038409884501
freestone peach,5,7446,6.715014773032501e-4
cling peach,13,7446,0.0017459038409884501
concord grape,76,7446,0.0102068224550094
green seedless grape,6,7446,8.058017727639e-4
kitchen table,4307,7446,0.5784313725490197
dining room table,1090,7446,0.14638732205210853
kitchen chair,338,7446,0.0453934998656997
living room chair,34,7446,0.0045662100456621
floor lamp,230,7446,0.030889067955949503
desk lamp,252,7446,0.03384367445608381
classic guitar,9,7446,0.0012087026591458502
folk guitar,16,7446,0.0021488047273704003
upright piano,147,7446,0.01974214343271555
grand piano,524,7446,0.0703733548213806
kettle drum,33,7446,0.004431909750201451
bass drum,245,7446,0.03290357238785925
